"PG","[M+H]+","[M+H-PG head]+","[M+H-R1]+","[M+H-R2]+","[exp_1]+","[exp_2]+","[exp_3]+"
"PG(33:2) PG(15:1_18:1)",733.50151,562.49561,297.2424,339.2894,71.0856,95.0855,123.1168
"PG(33:3) PG(15:1_18:2)",731.48581,560.47991,297.2424,337.2737,71.0856,95.0855,123.1168
"PG(33:4) PG(15:1_18:3)",729.47021,558.46431,297.2424,335.2581,71.0856,95.0855,123.1168
"PG(33:5) PG(15:1_18:4)",727.45451,556.44861,297.2424,333.2424,71.0856,95.0855,123.1168
"PG(34:1) PG(15:1_19:0)",749.53281,578.52691,297.2424,355.3207,71.0856,95.0855,123.1168
"PG(35:1) PG(15:1_20:0)",763.54841,592.54251,297.2424,369.3363,71.0856,95.0855,123.1168
"PG(35:2) PG(15:1_20:1)",761.53281,590.52691,297.2424,367.3207,71.0856,95.0855,123.1168
"PG(35:3) PG(15:1_20:2)",759.51711,588.51121,297.2424,365.305,71.0856,95.0855,123.1168
"PG(35:4) PG(15:1_20:3)",757.50151,586.49561,297.2424,363.2894,71.0856,95.0855,123.1168
"PG(35:5) PG(15:1_20:4)",755.48581,584.47991,297.2424,361.2737,71.0856,95.0855,123.1168
"PG(35:6) PG(15:1_20:5)",753.47021,582.46431,297.2424,359.2581,71.0856,95.0855,123.1168
"PG(36:1) PG(15:1_21:0)",777.56411,606.55821,297.2424,383.352,71.0856,95.0855,123.1168
"PG(37:1) PG(15:1_22:0)",791.57971,620.57381,297.2424,397.3676,71.0856,95.0855,123.1168
"PG(37:2) PG(15:1_22:1)",789.56411,618.55821,297.2424,395.352,71.0856,95.0855,123.1168
"PG(37:3) PG(15:1_22:2)",787.54841,616.54251,297.2424,393.3363,71.0856,95.0855,123.1168
"PG(37:4) PG(15:1_22:3)",785.53281,614.52691,297.2424,391.3207,71.0856,95.0855,123.1168
"PG(37:5) PG(15:1_22:4)",783.51711,612.51121,297.2424,389.305,71.0856,95.0855,123.1168
"PG(37:6) PG(15:1_22:5)",781.50151,610.49561,297.2424,387.2894,71.0856,95.0855,123.1168
"PG(37:7) PG(15:1_22:6)",779.48581,608.47991,297.2424,385.2737,71.0856,95.0855,123.1168
"PG(38:1) PG(15:1_23:0)",805.59541,634.58951,297.2424,411.3833,71.0856,95.0855,123.1168
"PG(39:1) PG(15:1_24:0)",819.61101,648.60511,297.2424,425.3989,71.0856,95.0855,123.1168
"PG(39:2) PG(15:1_24:1)",817.59541,646.58951,297.2424,423.3833,71.0856,95.0855,123.1168
"PG(40:1) PG(15:1_25:0)",833.62671,662.62081,297.2424,439.4146,71.0856,95.0855,123.1168
"PG(41:1) PG(15:1_26:0)",847.64231,676.63641,297.2424,453.4302,71.0856,95.0855,123.1168
"PG(32:0) PG(16:0_16:0)",723.51711,552.51121,313.2737,313.2737,71.0856,95.0855,123.1168
"PG(32:1) PG(16:0_16:1)",721.50151,550.49561,313.2737,311.2581,71.0856,95.0855,123.1168
"PG(33:0) PG(16:0_17:0)",737.53281,566.52691,313.2737,327.2894,71.0856,95.0855,123.1168
"PG(33:1) PG(16:0_17:1)",735.51711,564.51121,313.2737,325.2737,71.0856,95.0855,123.1168
"PG(33:2) PG(16:0_17:2)",733.50151,562.49561,313.2737,323.2581,71.0856,95.0855,123.1168
"PG(34:0) PG(16:0_18:0)",751.54841,580.54251,313.2737,341.305,71.0856,95.0855,123.1168
"PG(34:1) PG(16:0_18:1)",749.53281,578.52691,313.2737,339.2894,71.0856,95.0855,123.1168
"PG(34:2) PG(16:0_18:2)",747.51711,576.51121,313.2737,337.2737,71.0856,95.0855,123.1168
"PG(34:3) PG(16:0_18:3)",745.50151,574.49561,313.2737,335.2581,71.0856,95.0855,123.1168
"PG(34:4) PG(16:0_18:4)",743.48581,572.47991,313.2737,333.2424,71.0856,95.0855,123.1168
"PG(35:0) PG(16:0_19:0)",765.56411,594.55821,313.2737,355.3207,71.0856,95.0855,123.1168
"PG(36:0) PG(16:0_20:0)",779.57971,608.57381,313.2737,369.3363,71.0856,95.0855,123.1168
"PG(36:1) PG(16:0_20:1)",777.56411,606.55821,313.2737,367.3207,71.0856,95.0855,123.1168
"PG(36:2) PG(16:0_20:2)",775.54841,604.54251,313.2737,365.305,71.0856,95.0855,123.1168
"PG(36:3) PG(16:0_20:3)",773.53281,602.52691,313.2737,363.2894,71.0856,95.0855,123.1168
"PG(36:4) PG(16:0_20:4)",771.51711,600.51121,313.2737,361.2737,71.0856,95.0855,123.1168
"PG(36:5) PG(16:0_20:5)",769.50151,598.49561,313.2737,359.2581,71.0856,95.0855,123.1168
"PG(37:0) PG(16:0_21:0)",793.59541,622.58951,313.2737,383.352,71.0856,95.0855,123.1168
"PG(38:0) PG(16:0_22:0)",807.61101,636.60511,313.2737,397.3676,71.0856,95.0855,123.1168
"PG(38:1) PG(16:0_22:1)",805.59541,634.58951,313.2737,395.352,71.0856,95.0855,123.1168
"PG(38:2) PG(16:0_22:2)",803.57971,632.57381,313.2737,393.3363,71.0856,95.0855,123.1168
"PG(38:3) PG(16:0_22:3)",801.56411,630.55821,313.2737,391.3207,71.0856,95.0855,123.1168
"PG(38:4) PG(16:0_22:4)",799.54841,628.54251,313.2737,389.305,71.0856,95.0855,123.1168
"PG(38:5) PG(16:0_22:5)",797.53281,626.52691,313.2737,387.2894,71.0856,95.0855,123.1168
"PG(38:6) PG(16:0_22:6)",795.51711,624.51121,313.2737,385.2737,71.0856,95.0855,123.1168
"PG(39:0) PG(16:0_23:0)",821.62671,650.62081,313.2737,411.3833,71.0856,95.0855,123.1168
"PG(40:0) PG(16:0_24:0)",835.64231,664.63641,313.2737,425.3989,71.0856,95.0855,123.1168
"PG(40:1) PG(16:0_24:1)",833.62671,662.62081,313.2737,423.3833,71.0856,95.0855,123.1168
"PG(41:0) PG(16:0_25:0)",849.65801,678.65211,313.2737,439.4146,71.0856,95.0855,123.1168
"PG(42:0) PG(16:0_26:0)",863.67361,692.66771,313.2737,453.4302,71.0856,95.0855,123.1168
"PG(32:2) PG(16:1_16:1)",719.48591,548.48001,311.2581,311.2581,71.0856,95.0855,123.1168
"PG(33:1) PG(16:1_17:0)",735.51721,564.51131,311.2581,327.2894,71.0856,95.0855,123.1168
"PG(33:2) PG(16:1_17:1)",733.50151,562.49561,311.2581,325.2737,71.0856,95.0855,123.1168
"PG(33:3) PG(16:1_17:2)",731.48591,560.48001,311.2581,323.2581,71.0856,95.0855,123.1168
"PG(34:1) PG(16:1_18:0)",749.53281,578.52691,311.2581,341.305,71.0856,95.0855,123.1168
"PG(34:2) PG(16:1_18:1)",747.51721,576.51131,311.2581,339.2894,71.0856,95.0855,123.1168
"PG(34:3) PG(16:1_18:2)",745.50151,574.49561,311.2581,337.2737,71.0856,95.0855,123.1168
"PG(34:4) PG(16:1_18:3)",743.48591,572.48001,311.2581,335.2581,71.0856,95.0855,123.1168
"PG(34:5) PG(16:1_18:4)",741.47021,570.46431,311.2581,333.2424,71.0856,95.0855,123.1168
"PG(35:1) PG(16:1_19:0)",763.54851,592.54261,311.2581,355.3207,71.0856,95.0855,123.1168
"PG(36:1) PG(16:1_20:0)",777.56411,606.55821,311.2581,369.3363,71.0856,95.0855,123.1168
"PG(36:2) PG(16:1_20:1)",775.54851,604.54261,311.2581,367.3207,71.0856,95.0855,123.1168
"PG(36:3) PG(16:1_20:2)",773.53281,602.52691,311.2581,365.305,71.0856,95.0855,123.1168
"PG(36:4) PG(16:1_20:3)",771.51721,600.51131,311.2581,363.2894,71.0856,95.0855,123.1168
"PG(36:5) PG(16:1_20:4)",769.50151,598.49561,311.2581,361.2737,71.0856,95.0855,123.1168
"PG(36:6) PG(16:1_20:5)",767.48591,596.48001,311.2581,359.2581,71.0856,95.0855,123.1168
"PG(37:1) PG(16:1_21:0)",791.57981,620.57391,311.2581,383.352,71.0856,95.0855,123.1168
"PG(38:1) PG(16:1_22:0)",805.59541,634.58951,311.2581,397.3676,71.0856,95.0855,123.1168
"PG(38:2) PG(16:1_22:1)",803.57981,632.57391,311.2581,395.352,71.0856,95.0855,123.1168
"PG(38:3) PG(16:1_22:2)",801.56411,630.55821,311.2581,393.3363,71.0856,95.0855,123.1168
"PG(38:4) PG(16:1_22:3)",799.54851,628.54261,311.2581,391.3207,71.0856,95.0855,123.1168
"PG(38:5) PG(16:1_22:4)",797.53281,626.52691,311.2581,389.305,71.0856,95.0855,123.1168
"PG(38:6) PG(16:1_22:5)",795.51721,624.51131,311.2581,387.2894,71.0856,95.0855,123.1168
"PG(38:7) PG(16:1_22:6)",793.50151,622.49561,311.2581,385.2737,71.0856,95.0855,123.1168
"PG(39:1) PG(16:1_23:0)",819.61111,648.60521,311.2581,411.3833,71.0856,95.0855,123.1168
"PG(40:1) PG(16:1_24:0)",833.62671,662.62081,311.2581,425.3989,71.0856,95.0855,123.1168
"PG(40:2) PG(16:1_24:1)",831.61111,660.60521,311.2581,423.3833,71.0856,95.0855,123.1168
"PG(41:1) PG(16:1_25:0)",847.64241,676.63651,311.2581,439.4146,71.0856,95.0855,123.1168
"PG(42:1) PG(16:1_26:0)",861.65801,690.65211,311.2581,453.4302,71.0856,95.0855,123.1168
"PG(34:0) PG(17:0_17:0)",751.54851,580.54261,327.2894,327.2894,71.0856,95.0855,123.1168
"PG(34:1) PG(17:0_17:1)",749.53281,578.52691,327.2894,325.2737,71.0856,95.0855,123.1168
"PG(34:2) PG(17:0_17:2)",747.51721,576.51131,327.2894,323.2581,71.0856,95.0855,123.1168
"PG(35:0) PG(17:0_18:0)",765.56411,594.55821,327.2894,341.305,71.0856,95.0855,123.1168
"PG(35:1) PG(17:0_18:1)",763.54851,592.54261,327.2894,339.2894,71.0856,95.0855,123.1168
"PG(35:2) PG(17:0_18:2)",761.53281,590.52691,327.2894,337.2737,71.0856,95.0855,123.1168
"PG(35:3) PG(17:0_18:3)",759.51721,588.51131,327.2894,335.2581,71.0856,95.0855,123.1168
"PG(35:4) PG(17:0_18:4)",757.50151,586.49561,327.2894,333.2424,71.0856,95.0855,123.1168
"PG(36:0) PG(17:0_19:0)",779.57981,608.57391,327.2894,355.3207,71.0856,95.0855,123.1168
"PG(37:0) PG(17:0_20:0)",793.59541,622.58951,327.2894,369.3363,71.0856,95.0855,123.1168
"PG(37:1) PG(17:0_20:1)",791.57981,620.57391,327.2894,367.3207,71.0856,95.0855,123.1168
"PG(37:2) PG(17:0_20:2)",789.56411,618.55821,327.2894,365.305,71.0856,95.0855,123.1168
"PG(37:3) PG(17:0_20:3)",787.54851,616.54261,327.2894,363.2894,71.0856,95.0855,123.1168
"PG(37:4) PG(17:0_20:4)",785.53281,614.52691,327.2894,361.2737,71.0856,95.0855,123.1168
"PG(37:5) PG(17:0_20:5)",783.51721,612.51131,327.2894,359.2581,71.0856,95.0855,123.1168
"PG(38:0) PG(17:0_21:0)",807.61111,636.60521,327.2894,383.352,71.0856,95.0855,123.1168
"PG(39:0) PG(17:0_22:0)",821.62671,650.62081,327.2894,397.3676,71.0856,95.0855,123.1168
"PG(39:1) PG(17:0_22:1)",819.61111,648.60521,327.2894,395.352,71.0856,95.0855,123.1168
"PG(39:2) PG(17:0_22:2)",817.59541,646.58951,327.2894,393.3363,71.0856,95.0855,123.1168
"PG(39:3) PG(17:0_22:3)",815.57981,644.57391,327.2894,391.3207,71.0856,95.0855,123.1168
"PG(39:4) PG(17:0_22:4)",813.56411,642.55821,327.2894,389.305,71.0856,95.0855,123.1168
"PG(39:5) PG(17:0_22:5)",811.54851,640.54261,327.2894,387.2894,71.0856,95.0855,123.1168
"PG(39:6) PG(17:0_22:6)",809.53281,638.52691,327.2894,385.2737,71.0856,95.0855,123.1168
"PG(40:0) PG(17:0_23:0)",835.64241,664.63651,327.2894,411.3833,71.0856,95.0855,123.1168
"PG(41:0) PG(17:0_24:0)",849.65801,678.65211,327.2894,425.3989,71.0856,95.0855,123.1168
"PG(41:1) PG(17:0_24:1)",847.64241,676.63651,327.2894,423.3833,71.0856,95.0855,123.1168
"PG(42:0) PG(17:0_25:0)",863.67371,692.66781,327.2894,439.4146,71.0856,95.0855,123.1168
"PG(43:0) PG(17:0_26:0)",877.68931,706.68341,327.2894,453.4302,71.0856,95.0855,123.1168
"PG(34:2) PG(17:1_17:1)",747.51711,576.51121,325.2737,325.2737,71.0856,95.0855,123.1168
"PG(34:3) PG(17:1_17:2)",745.50151,574.49561,325.2737,323.2581,71.0856,95.0855,123.1168
"PG(35:1) PG(17:1_18:0)",763.54841,592.54251,325.2737,341.305,71.0856,95.0855,123.1168
"PG(35:2) PG(17:1_18:1)",761.53281,590.52691,325.2737,339.2894,71.0856,95.0855,123.1168
"PG(35:3) PG(17:1_18:2)",759.51711,588.51121,325.2737,337.2737,71.0856,95.0855,123.1168
"PG(35:4) PG(17:1_18:3)",757.50151,586.49561,325.2737,335.2581,71.0856,95.0855,123.1168
"PG(35:5) PG(17:1_18:4)",755.48581,584.47991,325.2737,333.2424,71.0856,95.0855,123.1168
"PG(36:1) PG(17:1_19:0)",777.56411,606.55821,325.2737,355.3207,71.0856,95.0855,123.1168
"PG(37:1) PG(17:1_20:0)",791.57971,620.57381,325.2737,369.3363,71.0856,95.0855,123.1168
"PG(37:2) PG(17:1_20:1)",789.56411,618.55821,325.2737,367.3207,71.0856,95.0855,123.1168
"PG(37:3) PG(17:1_20:2)",787.54841,616.54251,325.2737,365.305,71.0856,95.0855,123.1168
"PG(37:4) PG(17:1_20:3)",785.53281,614.52691,325.2737,363.2894,71.0856,95.0855,123.1168
"PG(37:5) PG(17:1_20:4)",783.51711,612.51121,325.2737,361.2737,71.0856,95.0855,123.1168
"PG(37:6) PG(17:1_20:5)",781.50151,610.49561,325.2737,359.2581,71.0856,95.0855,123.1168
"PG(38:1) PG(17:1_21:0)",805.59541,634.58951,325.2737,383.352,71.0856,95.0855,123.1168
"PG(39:1) PG(17:1_22:0)",819.61101,648.60511,325.2737,397.3676,71.0856,95.0855,123.1168
"PG(39:2) PG(17:1_22:1)",817.59541,646.58951,325.2737,395.352,71.0856,95.0855,123.1168
"PG(39:3) PG(17:1_22:2)",815.57971,644.57381,325.2737,393.3363,71.0856,95.0855,123.1168
"PG(39:4) PG(17:1_22:3)",813.56411,642.55821,325.2737,391.3207,71.0856,95.0855,123.1168
"PG(39:5) PG(17:1_22:4)",811.54841,640.54251,325.2737,389.305,71.0856,95.0855,123.1168
"PG(39:6) PG(17:1_22:5)",809.53281,638.52691,325.2737,387.2894,71.0856,95.0855,123.1168
"PG(39:7) PG(17:1_22:6)",807.51711,636.51121,325.2737,385.2737,71.0856,95.0855,123.1168
"PG(40:1) PG(17:1_23:0)",833.62671,662.62081,325.2737,411.3833,71.0856,95.0855,123.1168
"PG(41:1) PG(17:1_24:0)",847.64231,676.63641,325.2737,425.3989,71.0856,95.0855,123.1168
"PG(41:2) PG(17:1_24:1)",845.62671,674.62081,325.2737,423.3833,71.0856,95.0855,123.1168
"PG(42:1) PG(17:1_25:0)",861.65801,690.65211,325.2737,439.4146,71.0856,95.0855,123.1168
"PG(43:1) PG(17:1_26:0)",875.67361,704.66771,325.2737,453.4302,71.0856,95.0855,123.1168
"PG(34:4) PG(17:2_17:2)",743.48591,572.48001,323.2581,323.2581,71.0856,95.0855,123.1168
"PG(35:2) PG(17:2_18:0)",761.53281,590.52691,323.2581,341.305,71.0856,95.0855,123.1168
"PG(35:3) PG(17:2_18:1)",759.51721,588.51131,323.2581,339.2894,71.0856,95.0855,123.1168
"PG(35:4) PG(17:2_18:2)",757.50151,586.49561,323.2581,337.2737,71.0856,95.0855,123.1168
"PG(35:5) PG(17:2_18:3)",755.48591,584.48001,323.2581,335.2581,71.0856,95.0855,123.1168
"PG(35:6) PG(17:2_18:4)",753.47021,582.46431,323.2581,333.2424,71.0856,95.0855,123.1168
"PG(36:2) PG(17:2_19:0)",775.54851,604.54261,323.2581,355.3207,71.0856,95.0855,123.1168
"PG(37:2) PG(17:2_20:0)",789.56411,618.55821,323.2581,369.3363,71.0856,95.0855,123.1168
"PG(37:3) PG(17:2_20:1)",787.54851,616.54261,323.2581,367.3207,71.0856,95.0855,123.1168
"PG(37:4) PG(17:2_20:2)",785.53281,614.52691,323.2581,365.305,71.0856,95.0855,123.1168
"PG(37:5) PG(17:2_20:3)",783.51721,612.51131,323.2581,363.2894,71.0856,95.0855,123.1168
"PG(37:6) PG(17:2_20:4)",781.50151,610.49561,323.2581,361.2737,71.0856,95.0855,123.1168
"PG(37:7) PG(17:2_20:5)",779.48591,608.48001,323.2581,359.2581,71.0856,95.0855,123.1168
"PG(38:2) PG(17:2_21:0)",803.57981,632.57391,323.2581,383.352,71.0856,95.0855,123.1168
"PG(39:2) PG(17:2_22:0)",817.59541,646.58951,323.2581,397.3676,71.0856,95.0855,123.1168
"PG(39:3) PG(17:2_22:1)",815.57981,644.57391,323.2581,395.352,71.0856,95.0855,123.1168
"PG(39:4) PG(17:2_22:2)",813.56411,642.55821,323.2581,393.3363,71.0856,95.0855,123.1168
"PG(39:5) PG(17:2_22:3)",811.54851,640.54261,323.2581,391.3207,71.0856,95.0855,123.1168
"PG(39:6) PG(17:2_22:4)",809.53281,638.52691,323.2581,389.305,71.0856,95.0855,123.1168
"PG(39:7) PG(17:2_22:5)",807.51721,636.51131,323.2581,387.2894,71.0856,95.0855,123.1168
"PG(39:8) PG(17:2_22:6)",805.50151,634.49561,323.2581,385.2737,71.0856,95.0855,123.1168
"PG(40:2) PG(17:2_23:0)",831.61111,660.60521,323.2581,411.3833,71.0856,95.0855,123.1168
"PG(41:2) PG(17:2_24:0)",845.62671,674.62081,323.2581,425.3989,71.0856,95.0855,123.1168
"PG(41:3) PG(17:2_24:1)",843.61111,672.60521,323.2581,423.3833,71.0856,95.0855,123.1168
"PG(42:2) PG(17:2_25:0)",859.64241,688.63651,323.2581,439.4146,71.0856,95.0855,123.1168
"PG(43:2) PG(17:2_26:0)",873.65801,702.65211,323.2581,453.4302,71.0856,95.0855,123.1168
"PG(36:0) PG(18:0_18:0)",779.57971,608.57381,341.305,341.305,71.0856,95.0855,123.1168
"PG(36:1) PG(18:0_18:1)",777.56411,606.55821,341.305,339.2894,71.0856,95.0855,123.1168
"PG(36:2) PG(18:0_18:2)",775.54841,604.54251,341.305,337.2737,71.0856,95.0855,123.1168
"PG(36:3) PG(18:0_18:3)",773.53281,602.52691,341.305,335.2581,71.0856,95.0855,123.1168
"PG(36:4) PG(18:0_18:4)",771.51711,600.51121,341.305,333.2424,71.0856,95.0855,123.1168
"PG(37:0) PG(18:0_19:0)",793.59541,622.58951,341.305,355.3207,71.0856,95.0855,123.1168
"PG(38:0) PG(18:0_20:0)",807.61101,636.60511,341.305,369.3363,71.0856,95.0855,123.1168
"PG(38:1) PG(18:0_20:1)",805.59541,634.58951,341.305,367.3207,71.0856,95.0855,123.1168
"PG(38:2) PG(18:0_20:2)",803.57971,632.57381,341.305,365.305,71.0856,95.0855,123.1168
"PG(38:3) PG(18:0_20:3)",801.56411,630.55821,341.305,363.2894,71.0856,95.0855,123.1168
"PG(38:4) PG(18:0_20:4)",799.54841,628.54251,341.305,361.2737,71.0856,95.0855,123.1168
"PG(38:5) PG(18:0_20:5)",797.53281,626.52691,341.305,359.2581,71.0856,95.0855,123.1168
"PG(39:0) PG(18:0_21:0)",821.62671,650.62081,341.305,383.352,71.0856,95.0855,123.1168
"PG(40:0) PG(18:0_22:0)",835.64231,664.63641,341.305,397.3676,71.0856,95.0855,123.1168
"PG(40:1) PG(18:0_22:1)",833.62671,662.62081,341.305,395.352,71.0856,95.0855,123.1168
"PG(40:2) PG(18:0_22:2)",831.61101,660.60511,341.305,393.3363,71.0856,95.0855,123.1168
"PG(40:3) PG(18:0_22:3)",829.59541,658.58951,341.305,391.3207,71.0856,95.0855,123.1168
"PG(40:4) PG(18:0_22:4)",827.57971,656.57381,341.305,389.305,71.0856,95.0855,123.1168
"PG(40:5) PG(18:0_22:5)",825.56411,654.55821,341.305,387.2894,71.0856,95.0855,123.1168
"PG(40:6) PG(18:0_22:6)",823.54841,652.54251,341.305,385.2737,71.0856,95.0855,123.1168
"PG(41:0) PG(18:0_23:0)",849.65801,678.65211,341.305,411.3833,71.0856,95.0855,123.1168
"PG(42:0) PG(18:0_24:0)",863.67361,692.66771,341.305,425.3989,71.0856,95.0855,123.1168
"PG(42:1) PG(18:0_24:1)",861.65801,690.65211,341.305,423.3833,71.0856,95.0855,123.1168
"PG(43:0) PG(18:0_25:0)",877.68931,706.68341,341.305,439.4146,71.0856,95.0855,123.1168
"PG(44:0) PG(18:0_26:0)",891.70491,720.69901,341.305,453.4302,71.0856,95.0855,123.1168
"PG(36:2) PG(18:1_18:1)",775.54851,604.54261,339.2894,339.2894,71.0856,95.0855,123.1168
"PG(36:3) PG(18:1_18:2)",773.53281,602.52691,339.2894,337.2737,71.0856,95.0855,123.1168
"PG(36:4) PG(18:1_18:3)",771.51721,600.51131,339.2894,335.2581,71.0856,95.0855,123.1168
"PG(36:5) PG(18:1_18:4)",769.50151,598.49561,339.2894,333.2424,71.0856,95.0855,123.1168
"PG(37:1) PG(18:1_19:0)",791.57981,620.57391,339.2894,355.3207,71.0856,95.0855,123.1168
"PG(38:1) PG(18:1_20:0)",805.59541,634.58951,339.2894,369.3363,71.0856,95.0855,123.1168
"PG(38:2) PG(18:1_20:1)",803.57981,632.57391,339.2894,367.3207,71.0856,95.0855,123.1168
"PG(38:3) PG(18:1_20:2)",801.56411,630.55821,339.2894,365.305,71.0856,95.0855,123.1168
"PG(38:4) PG(18:1_20:3)",799.54851,628.54261,339.2894,363.2894,71.0856,95.0855,123.1168
"PG(38:5) PG(18:1_20:4)",797.53281,626.52691,339.2894,361.2737,71.0856,95.0855,123.1168
"PG(38:6) PG(18:1_20:5)",795.51721,624.51131,339.2894,359.2581,71.0856,95.0855,123.1168
"PG(39:1) PG(18:1_21:0)",819.61111,648.60521,339.2894,383.352,71.0856,95.0855,123.1168
"PG(40:1) PG(18:1_22:0)",833.62671,662.62081,339.2894,397.3676,71.0856,95.0855,123.1168
"PG(40:2) PG(18:1_22:1)",831.61111,660.60521,339.2894,395.352,71.0856,95.0855,123.1168
"PG(40:3) PG(18:1_22:2)",829.59541,658.58951,339.2894,393.3363,71.0856,95.0855,123.1168
"PG(40:4) PG(18:1_22:3)",827.57981,656.57391,339.2894,391.3207,71.0856,95.0855,123.1168
"PG(40:5) PG(18:1_22:4)",825.56411,654.55821,339.2894,389.305,71.0856,95.0855,123.1168
"PG(40:6) PG(18:1_22:5)",823.54851,652.54261,339.2894,387.2894,71.0856,95.0855,123.1168
"PG(40:7) PG(18:1_22:6)",821.53281,650.52691,339.2894,385.2737,71.0856,95.0855,123.1168
"PG(41:1) PG(18:1_23:0)",847.64241,676.63651,339.2894,411.3833,71.0856,95.0855,123.1168
"PG(42:1) PG(18:1_24:0)",861.65801,690.65211,339.2894,425.3989,71.0856,95.0855,123.1168
"PG(42:2) PG(18:1_24:1)",859.64241,688.63651,339.2894,423.3833,71.0856,95.0855,123.1168
"PG(43:1) PG(18:1_25:0)",875.67371,704.66781,339.2894,439.4146,71.0856,95.0855,123.1168
"PG(44:1) PG(18:1_26:0)",889.68931,718.68341,339.2894,453.4302,71.0856,95.0855,123.1168
"PG(36:4) PG(18:2_18:2)",771.51711,600.51121,337.2737,337.2737,71.0856,95.0855,123.1168
"PG(36:5) PG(18:2_18:3)",769.50151,598.49561,337.2737,335.2581,71.0856,95.0855,123.1168
"PG(36:6) PG(18:2_18:4)",767.48581,596.47991,337.2737,333.2424,71.0856,95.0855,123.1168
"PG(37:2) PG(18:2_19:0)",789.56411,618.55821,337.2737,355.3207,71.0856,95.0855,123.1168
"PG(38:2) PG(18:2_20:0)",803.57971,632.57381,337.2737,369.3363,71.0856,95.0855,123.1168
"PG(38:3) PG(18:2_20:1)",801.56411,630.55821,337.2737,367.3207,71.0856,95.0855,123.1168
"PG(38:4) PG(18:2_20:2)",799.54841,628.54251,337.2737,365.305,71.0856,95.0855,123.1168
"PG(38:5) PG(18:2_20:3)",797.53281,626.52691,337.2737,363.2894,71.0856,95.0855,123.1168
"PG(38:6) PG(18:2_20:4)",795.51711,624.51121,337.2737,361.2737,71.0856,95.0855,123.1168
"PG(38:7) PG(18:2_20:5)",793.50151,622.49561,337.2737,359.2581,71.0856,95.0855,123.1168
"PG(39:2) PG(18:2_21:0)",817.59541,646.58951,337.2737,383.352,71.0856,95.0855,123.1168
"PG(40:2) PG(18:2_22:0)",831.61101,660.60511,337.2737,397.3676,71.0856,95.0855,123.1168
"PG(40:3) PG(18:2_22:1)",829.59541,658.58951,337.2737,395.352,71.0856,95.0855,123.1168
"PG(40:4) PG(18:2_22:2)",827.57971,656.57381,337.2737,393.3363,71.0856,95.0855,123.1168
"PG(40:5) PG(18:2_22:3)",825.56411,654.55821,337.2737,391.3207,71.0856,95.0855,123.1168
"PG(40:6) PG(18:2_22:4)",823.54841,652.54251,337.2737,389.305,71.0856,95.0855,123.1168
"PG(40:7) PG(18:2_22:5)",821.53281,650.52691,337.2737,387.2894,71.0856,95.0855,123.1168
"PG(40:8) PG(18:2_22:6)",819.51711,648.51121,337.2737,385.2737,71.0856,95.0855,123.1168
"PG(41:2) PG(18:2_23:0)",845.62671,674.62081,337.2737,411.3833,71.0856,95.0855,123.1168
"PG(42:2) PG(18:2_24:0)",859.64231,688.63641,337.2737,425.3989,71.0856,95.0855,123.1168
"PG(42:3) PG(18:2_24:1)",857.62671,686.62081,337.2737,423.3833,71.0856,95.0855,123.1168
"PG(43:2) PG(18:2_25:0)",873.65801,702.65211,337.2737,439.4146,71.0856,95.0855,123.1168
"PG(44:2) PG(18:2_26:0)",887.67361,716.66771,337.2737,453.4302,71.0856,95.0855,123.1168
"PG(36:6) PG(18:3_18:3)",767.48591,596.48001,335.2581,335.2581,71.0856,95.0855,123.1168
"PG(36:7) PG(18:3_18:4)",765.47021,594.46431,335.2581,333.2424,71.0856,95.0855,123.1168
"PG(37:3) PG(18:3_19:0)",787.54851,616.54261,335.2581,355.3207,71.0856,95.0855,123.1168
"PG(38:3) PG(18:3_20:0)",801.56411,630.55821,335.2581,369.3363,71.0856,95.0855,123.1168
"PG(38:4) PG(18:3_20:1)",799.54851,628.54261,335.2581,367.3207,71.0856,95.0855,123.1168
"PG(38:5) PG(18:3_20:2)",797.53281,626.52691,335.2581,365.305,71.0856,95.0855,123.1168
"PG(38:6) PG(18:3_20:3)",795.51721,624.51131,335.2581,363.2894,71.0856,95.0855,123.1168
"PG(38:7) PG(18:3_20:4)",793.50151,622.49561,335.2581,361.2737,71.0856,95.0855,123.1168
"PG(38:8) PG(18:3_20:5)",791.48591,620.48001,335.2581,359.2581,71.0856,95.0855,123.1168
"PG(39:3) PG(18:3_21:0)",815.57981,644.57391,335.2581,383.352,71.0856,95.0855,123.1168
"PG(40:3) PG(18:3_22:0)",829.59541,658.58951,335.2581,397.3676,71.0856,95.0855,123.1168
"PG(40:4) PG(18:3_22:1)",827.57981,656.57391,335.2581,395.352,71.0856,95.0855,123.1168
"PG(40:5) PG(18:3_22:2)",825.56411,654.55821,335.2581,393.3363,71.0856,95.0855,123.1168
"PG(40:6) PG(18:3_22:3)",823.54851,652.54261,335.2581,391.3207,71.0856,95.0855,123.1168
"PG(40:7) PG(18:3_22:4)",821.53281,650.52691,335.2581,389.305,71.0856,95.0855,123.1168
"PG(40:8) PG(18:3_22:5)",819.51721,648.51131,335.2581,387.2894,71.0856,95.0855,123.1168
"PG(40:9) PG(18:3_22:6)",817.50151,646.49561,335.2581,385.2737,71.0856,95.0855,123.1168
"PG(41:3) PG(18:3_23:0)",843.61111,672.60521,335.2581,411.3833,71.0856,95.0855,123.1168
